Stock_Code,Quarter_Date,Gross Profit,Cost Of Revenue,Total Revenue,Net Income,close_date,Price,Company Name,GICS Sector,GICS Sub Industry,Founded,State,Province
AOS,6/30/2023,384700000,576100000,960800000,157000000,3/11/2024,85.30999756,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,6/30/2023,384700000,576100000,960800000,157000000,3/12/2024,85.93000031,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,6/30/2023,384700000,576100000,960800000,157000000,3/13/2024,86.16000366,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,6/30/2023,384700000,576100000,960800000,157000000,3/14/2024,86.62000275,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,6/30/2023,384700000,576100000,960800000,157000000,3/15/2024,87.08999634,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,3/31/2023,374100000,592300000,966400000,126900000,3/11/2024,85.30999756,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,3/31/2023,374100000,592300000,966400000,126900000,3/12/2024,85.93000031,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,3/31/2023,374100000,592300000,966400000,126900000,3/13/2024,86.16000366,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,3/31/2023,374100000,592300000,966400000,126900000,3/14/2024,86.62000275,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,3/31/2023,374100000,592300000,966400000,126900000,3/15/2024,87.08999634,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,12/31/2022,348600000,587500000,936100000,-120100000,3/11/2024,85.30999756,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,12/31/2022,348600000,587500000,936100000,-120100000,3/12/2024,85.93000031,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,12/31/2022,348600000,587500000,936100000,-120100000,3/13/2024,86.16000366,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,12/31/2022,348600000,587500000,936100000,-120100000,3/14/2024,86.62000275,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
AOS,12/31/2022,348600000,587500000,936100000,-120100000,3/15/2024,87.08999634,A. O. Smith,Industrials,Building Products,1916,Wisconsin,Milwaukee
